时间,动作,详情
2026-05-20 11:00:28,修改价格/资料,"{""旧"": {""id"": ""201"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""64肉沫"", ""规格"": """", ""单位"": ""斤"", ""单价"": 6.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-19""}, ""新"": {""id"": ""201"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""肉沫"", ""规格"": """", ""单位"": ""斤"", ""单价"": 6.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-20""}}"
2026-05-20 11:03:28,新增报价,"{""id"": ""226"", ""sheet"": ""新增报价"", ""品类"": ""猪肉"", ""品名"": ""龙骨"", ""规格"": """", ""单位"": ""斤"", ""单价"": 9.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""网页新增"", ""更新时间"": ""2026-05-20""}"
2026-05-20 11:04:00,清空当天数据,"{""日期"": ""2026-05-20"", ""清空采购行数"": 7, ""清空营业额记录"": 0}"
2026-05-20 11:06:39,清空当天数据,"{""日期"": ""2026-05-20"", ""清空采购行数"": 56, ""清空营业额记录"": 0}"
2026-05-20 11:08:20,新增报价,"{""id"": ""227"", ""sheet"": ""新增报价"", ""品类"": ""调料"", ""品名"": ""辣椒油"", ""规格"": """", ""单位"": ""桶"", ""单价"": 70.01, ""供应商"": """", ""启用"": ""是"", ""来源"": ""网页新增"", ""更新时间"": ""2026-05-20""}"
2026-05-20 11:09:33,修改价格/资料,"{""旧"": {""id"": ""35"", ""sheet"": ""最新成本库_调料图片导入"", ""品类"": ""调料"", ""品名"": ""生抽"", ""规格"": """", ""单位"": ""瓶"", ""单价"": 5.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新成本库图片 2026-05-19"", ""更新时间"": ""2026-05-19""}, ""新"": {""id"": ""35"", ""sheet"": ""最新成本库_调料图片导入"", ""品类"": ""调料"", ""品名"": ""海天生抽"", ""规格"": """", ""单位"": ""瓶"", ""单价"": 15.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新成本库图片 2026-05-19"", ""更新时间"": ""2026-05-20""}}"
2026-05-20 11:10:18,新增报价,"{""id"": ""228"", ""sheet"": ""新增报价"", ""品类"": ""调料"", ""品名"": ""干辣椒段"", ""规格"": """", ""单位"": ""斤"", ""单价"": 13.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""网页新增"", ""更新时间"": ""2026-05-20""}"
2026-05-20 11:11:01,新增报价,"{""id"": ""229"", ""sheet"": ""新增报价"", ""品类"": ""调料"", ""品名"": ""蚝油"", ""规格"": ""6kg"", ""单位"": ""桶"", ""单价"": 30.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""网页新增"", ""更新时间"": ""2026-05-20""}"
2026-05-20 11:11:18,修改价格/资料,"{""旧"": {""id"": ""1"", ""sheet"": ""最新成本库_调料图片导入"", ""品类"": ""调料"", ""品名"": ""白糖"", ""规格"": """", ""单位"": ""斤"", ""单价"": 3.5, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新成本库图片 2026-05-19"", ""更新时间"": ""2026-05-19""}, ""新"": {""id"": ""1"", ""sheet"": ""最新成本库_调料图片导入"", ""品类"": ""调料"", ""品名"": ""白糖"", ""规格"": """", ""单位"": ""斤"", ""单价"": 3.6, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新成本库图片 2026-05-19"", ""更新时间"": ""2026-05-20""}}"
2026-05-20 11:12:12,修改价格/资料,"{""旧"": {""id"": ""208"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""猪头骨"", ""规格"": """", ""单位"": ""斤"", ""单价"": 4.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-19""}, ""新"": {""id"": ""208"", ""sheet"": ""最新成本库_猪肉图片导入"", ""品类"": ""猪肉"", ""品名"": ""猪头骨"", ""规格"": """", ""单位"": ""个"", ""单价"": 30.0, ""供应商"": """", ""启用"": ""是"", ""来源"": ""梦洁最新猪肉成本库图片 2026-05-19"", ""更新时间"": ""2026-05-20""}}"
